code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
PCH002,760803,แก่งกระจาน,12.9347,99.7805,76,วังจันทร์,แก่งกระจาน,เพชรบุรี,แม่น้ำเพชรบุรี,Petch Buri 2,Wang Chan,Kaeng Krachan,Phetchaburi,0,W,24.105,23.312,17.144,
PCH003,760511,ท่ายาง,12.81346,99.79404,76,กลัดหลวง,ท่ายาง,เพชรบุรี,แม่น้ำเพชรบุรี,Tha Yang,Klat Luang,Tha Yang,Phetchaburi,16.295,W,26.09,26.6,21.835,
PIN001,630204,บ้านตาก,17.04065,99.0662,63,ตากตก,บ้านตาก,ตาก,แม่น้ำปิง,Ping 1,Tak Tok,Ban Tak,Tak,0,W,121.6,121.6,118.19,
PIN002,630903,เมืองตาก,16.78656,99.18398,63,ประดาง,วังเจ้า,ตาก,แม่น้ำปิง,Ping 2,Pradang,Wang Chao,Tak,0,W,101.829,104.266,93.43,
PIN003,620107,สะพานลานดอกไม้,16.62822,99.43257,62,ลานดอกไม้,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,Ping 3,Lan Dokmai,Mueang Kamphaeng Phet,Kamphaeng Phet,0,W,84.613,85.393,80.53,
PIN004,620404,ขาณุวรลักษบุรี,16.064704,99.860384,62,ป่าพุทรา,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำปิง,Ping 4,Pa Phutsa,Khanu Woralaksaburi,Kamphaeng Phet,0,W,45.331,43.922,38.988,
PIN005,600605,เก้าเลี้ยว,15.85066,100.05231,60,หัวดง,เก้าเลี้ยว,นครสวรรค์,แม่น้ำปิง,Ping 5,Hua Dong,Kao Liao,Nakhon Sawan,0,W,31.197,32.915,25.85,
PIN006,620105,เมืองกำแพงเพชร (P7A),16.477605,99.517644,62,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,Mueang Kamphaeng Phet (P7A),Nakhon Chum,Mueang Kamphaeng Phet,Kamphaeng Phet,0,W,78.69,78.74,71.5,
PRC001,250201,กบินทร์บุรี,13.9866,101.705,25,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,แม่น้ำปราจีนบุรี,Prachinburi 1,Kabin,Kabin Buri,Prachin Buri,0,W,11.75,11.62,0.44,
PRC002,250101,เมืองปราจีนบุรี,14.0525,101.373,25,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,แม่น้ำปราจีนบุรี,Prachinburi 2,Na Mueang,Mueang Prachin Buri,Prachin Buri,0,W,5.44,6.42,-4.27,
PRC003,250303,นาดี,14.13359,101.72765,25,สะพานหิน,นาดี,ปราจีนบุรี,แม่น้ำปราจีนบุรี,Na Di,Saphan Hin,Na Di,Prachin Buri,0,W,17.336,17.49,6.714,
PRC004,250701,ประจันตคาม (KGT7A),14.07069,101.51907,25,ประจันตคาม,ประจันตคาม,ปราจีนบุรี,แม่น้ำปราจีนบุรี,Prachinburi 4,Prachantakham,Prachantakham,Prachin Buri,0,W,6.8545,6.6625,,
PRC005,250803,ศรีมหาโพธิ (KGT6),13.97306,101.51726,25,บ้านทาม,ศรีมหาโพธิ,ปราจีนบุรี,แม่น้ำปราจีนบุรี,Prachinburi 5,Ban Tham,Si Maha Phot,Prachin Buri,0,W,7.5808,7.9828,,
PRN001,770608,ปราณบุรี,12.39006,99.91111,77,วังก์พง,ปราณบุรี,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,Pran Buri 1,Wang Phong,Pran Buri,Prachuap Khiri Khan,0,W,6.627,8.263,-0.593,
PRN002,770705,หัวหิน,12.50846,99.84206,77,ทับใต้,หัวหิน,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,Pran Buri 2,Thap Tai,Hua Hin,Prachuap Khiri Khan,20.423,W,32.162,31.776,28.287,
PYO001,560101,ท้ายกว๊านพะเยา,19.15981,99.9145,56,เวียง,เมืองพะเยา,พะเยา,แม่น้ำโขง,Kwan Phayao,Wiang,Mueang Phayao,Phayao,0,W,393.24,392.53,387.24,
RAJ001,700709,โพธาราม,13.6331,99.8165,70,เจ็ดเสมียน,โพธาราม,ราชบุรี,แม่น้ำแม่กลอง,Ratchaburi 1,Chet Samian,Photharam,Ratchaburi,0,W,7.845,9.028,-2.399,
RAJ002,700514,บ้านโป่ง,13.81871,99.86498,70,เบิกไพร,บ้านโป่ง,ราชบุรี,แม่น้ำแม่กลอง,Ratchaburi 2,Boek Phrai,Ban Pong,Ratchaburi,0,W,11.599,11.54,0.237,
RAJ003,700301,สวนผึ้ง,13.54368,99.35422,70,สวนผึ้ง,สวนผึ้ง,ราชบุรี,แม่น้ำแม่กลอง,Ratchaburi 3,Suan Phueng,Suan Phueng,Ratchaburi,0,W,99.384,100.608,92.935,
RAY001,210308,เมืองแกลง,12.80299,101.65021,21,บ้านนา,แกลง,ระยอง,ชายฝั่งทะเลตะวันออก,Mueang Klaeng,Ban Na,Klaeng,Rayong,0,W,3.899,4.204,-0.158,
RAY002,210506,หนองบัว,12.84922,101.30134,21,หนองบัว,บ้านค่าย,ระยอง,ชายฝั่งทะเลตะวันออก,Nong Bua,Nong Bua,Ban Khai,Rayong,0,W,17.008,15.967,,
RAY003,210111,ทับมา,12.73794,101.22841,21,ทับมา,เมืองระยอง,ระยอง,ชายฝั่งทะเลตะวันออก,Thap Ma,Thap Ma,Mueang Rayong,Rayong,0,W,11.482,12.266,,
RAY004,210504,บ้านค่าย,12.70687,101.3003,21,ตาขัน,บ้านค่าย,ระยอง,ชายฝั่งทะเลตะวันออก,Ban Khai,Ta Khan,Ban Khai,Rayong,0,W,5.191,3.333,,
RNG001,850101,เมืองระนอง,9.96157,98.64472,85,เขานิเวศน์,เมืองระนอง,ระนอง,ภาคใต้ฝั่งตะวันตก,Mueang Ranong,Khao Niwet,Mueang Ranong,Ranong,0,W,12.112,10.387,7.2,
SAY001,960902,สุคิริน,5.94409,101.771046,96,สุคิริน,สุคิริน,นราธิวาส,ภาคใต้ฝั่งตะวันออก,Sai Buri 1,Sukhirin,Sukhirin,Narathiwat,0,W,,,,
SAY002,960703,ศรีสาคร,6.227405,101.497046,96,ศรีสาคร,ศรีสาคร,นราธิวาส,ภาคใต้ฝั่งตะวันออก,Sai Buri 2,Si Sakhon,Si Sakhon,Narathiwat,0,W,35.04,35.03,22.49,
SKE001,270103,คลองพระปรง,13.93735,101.92236,27,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,แม่น้ำปราจีนบุรี,Klong Pra Prong,Sala Lamduan,Mueang Sa Kaeo,Sa Kaeo,0,W,16.171,16.053,9.04,
SKE002,270108,เมืองสระแก้ว,13.80965,102.05432,27,สระขวัญ,เมืองสระแก้ว,สระแก้ว,แม่น้ำปราจีนบุรี,Mueang Sa Kaeo,Sa Khwan,Mueang Sa Kaeo,Sa Kaeo,0,W,35.905,34.909,24.321,
SKE003,270608,คลองพรหมโหด,13.7058768,102.4817152,27,บ้านใหม่หนองไทร,อรัญประเทศ,สระแก้ว,โตนเลสาป,Klong Prom Hod,Ban Mai Nong Sai,Aranyaprathet,Sa Kaeo,0,W,44.389,45.109,38.743,
SKG001,610301,สว่างอารมณ์,15.58584,99.86565,61,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,แม่น้ำสะแกกรัง,Sakae Krang 1,Sawang Arom,Sawang Arom,Uthai Thani,0,W,36.93,35.896,29.3,
SKG002,610101,เมืองอุทัยธานี,15.37084,100.0442,61,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,แม่น้ำสะแกกรัง,Sakae Krang 2,Uthai Mai,Mueang Uthai Thani,Uthai Thani,0,W,17.797,17.842,10.97,
SKG003,620411,สะพานต้นน้ำ (เกาะแก้ว-ตลิ่งสูง),15.91436,99.4193,62,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำสะแกกรัง,Ton num Bridge,Pang Makha,Khanu Woralaksaburi,Kamphaeng Phet,0,W,,,102.34,
SKG004,601303,สะพานแม่เลย์,15.84168,99.4181,60,แม่เล่ย์,แม่วงก์,นครสวรรค์,แม่น้ำสะแกกรัง,Sakae Krang 4,Mae Le,Mae Wong,Nakhon Sawan,0,W,,,,
SKG005,620411,สะพานแม่วงก์,15.90197,99.4705,62,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำสะแกกรัง,Maewong Bridge,Pang Makha,Khanu Woralaksaburi,Kamphaeng Phet,0,W,,,,
SKG006,601116,ศาลเจ้าไก่ต่อ (TSK.2),15.78585,99.6784,60,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,แม่น้ำสะแกกรัง,Sakae Krang 6,San Chao Kai To,Lat Yao,Nakhon Sawan,0,W,,,,
SKG007,601116,คลองกลาง,15.78329,99.6532,60,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,แม่น้ำสะแกกรัง,Sakae Krang 7,San Chao Kai To,Lat Yao,Nakhon Sawan,0,W,,,,
SKM001,471104,อากาศอำนวย,17.77758,104.01511,47,โพนงาม,อากาศอำนวย,สกลนคร,แม่น้ำโขง,Songkram 1,Phon Ngam,Akat Amnuai,Sakon Nakhon,0,W,136.285,136.935,124.75,
SKM003,471006,บ้านม่วง,17.82158,103.38708,47,ห้วยหลัว,บ้านม่วง,สกลนคร,แม่น้ำโขง,Song Kram 3,Huai Lua,Ban Muang,Sakon Nakhon,0,W,154.5,154.5,145.86,154.5
SKM004,480801,ศรีสงคราม,17.67479,104.28576,48,ศรีสงคราม,ศรีสงคราม,นครพนม,แม่น้ำโขง,Sri Songkram,Sri Songkram,Sri Songkram,Nakhon Phanom,0,W,145.73,146.31,129.587,
SKM005,471207,สว่างแดนดิน,17.59462,103.38453,47,โพนสูง,สว่างแดนดิน,สกลนคร,แม่น้ำโขง,Sawang Daen Din,Phon Sung,Sawang Daen Din,Sakon Nakhon,0,W,157.209,156.592,150.1,
SLA001,901104,หาดใหญ่,6.979713637,100.4636725,90,คอหงส์,หาดใหญ่,สงขลา,ทะเลสาบสงขลา,Songkhla Lake 1,Kho Hong,Hat Yai,Songkhla,0,W,8.601,9.032,-3.329,
SLA002,901602,คลองหอยโข่ง,6.93138,100.44007,90,ทุ่งลาน,คลองหอยโข่ง,สงขลา,ทะเลสาบสงขลา,Song Khla Lake 2,Thung Lan,Khlong Hoi Khong,Songkhla,0,W,8.056,8.599,-1.601,
SLA003,901006,สะเดา,6.796643366,100.4420288,90,ท่าโพธิ์,สะเดา,สงขลา,ทะเลสาบสงขลา,Songkhla Lake 3,Tha Pho,Sadao,Songkhla,0,W,17.298,17.32,8.393,
SLA005,901507,ปากรอ,7.26143,100.42433,90,ปากรอ,สิงหนคร,สงขลา,ทะเลสาบสงขลา,Songkhla Lake 5,Pak Ro,Singhanakhon,Songkhla,0,W,0.97,1.62,-6.36,
SLA007,901402,บางกล่ำ,7.079451,100.427841,90,ท่าช้าง,บางกล่ำ,สงขลา,ทะเลสาบสงขลา,Songkhla 7,Tha Chang,Bang Klam,Songkhla,0,W,1.038,1.038,-1.91,
STU001,910105,เมืองสตูล,6.7266272,100.062592,91,ฉลุง,เมืองสตูล,สตูล,ภาคใต้ฝั่งตะวันตก,Satun 1,Chalung,Mueang Satun,Satun,0,W,15.148,15.139,12.922,
STU002,910502,ละงู,6.88579,99.80436,91,ละงู,ละงู,สตูล,ภาคใต้ฝั่งตะวันตก,La-ngu,La-ngu,La-ngu,Satun,-7.672,W,2.033,3.023,-1.172,
STU003,910702,มะนัง,6.94082,99.87296,91,นิคมพัฒนา,มะนัง,สตูล,ภาคใต้ฝั่งตะวันตก,Manang,Nikhom Phatthana,Manang,Satun,2.044,W,12.884,13.184,4.144,
